,课程名,专业类别,所属大学,开课次数,开课日期,结课日期,学时安排,持续周数,当前状态,参加人数,课程评价数,授课教师
305,管理沟通：思维与技能,经济学,哈尔滨工业大学,7,2019-03-01,2019-06-30,2.5,18,立即参加,28703,468,张莉教授/博导刘宝巍讲师
306,职熵—大学生职业素养与能力提升,教育教学,中国海洋大学,6,2019-02-20,2019-06-15,2.5,17,立即参加,1379,46,魏丽娟职业发展教育教师曹娟分学院团委书记，辅导员，讲师，职业发展教育教师
307,数字电子技术基础,工学,国防科技大学,9,2019-03-15,2019-07-02,5.0,16,立即参加,3965,60,库锡树教授丁文霞教授罗笑冰副教授程江华副教授刁节涛教授杜湘瑜教授张亮讲师田曦副教授杨明胜副研究员刘菊荣高级工程师翟庆林讲师余安喜副教授
308,画法几何及土木工程制图（上）,工学,大连理工大学,4,2019-02-24,2019-05-27,4.5,14,立即参加,3322,38,王子茹教授何斌副教授
309,高等数学（一）,理学,国防科技大学,7,2018-09-17,2018-11-18,4.0,9,已结束，查看内容,83763,105,朱健民教授李建平教授黄建华教授王晓教授周敏教授刘雄伟副教授罗永副教授赵侠副教授吴强副教授王焱副教授耿美华副教授
310,英语语法与写作,外语,暨南大学,6,2019-03-01,2019-06-07,3.0,15,立即参加,19501,261,朱湘军副教授
311,分析化学,理学,中国地质大学,5,2019-02-25,2019-06-02,4.0,14,立即参加,3238,12,帅琴教授鲁立强副教授邱海鸥教授彭月娥副教授李季副教授黄云杰副教授
312,陶瓷工艺学,工学,福州大学,7,2019-03-04,2019-06-10,3.0,15,立即参加,9337,91,于岩教授，博导，教务处处长黄晓巍副教授陈俊锋副教授林枞副教授庄赞勇副研究员
313,宝石加工工艺学,工学,金陵科技学院,7,2018-09-15,2018-12-15,4.0,14,已结束，查看内容,3130,9,廖望春副教授刘自强教授汪国辉讲师
314,化工原理（下册）,工学,大连理工大学,4,2019-02-18,2019-06-16,4.0,17,立即参加,1599,19,潘艳秋教授
315,现代市场营销素质与能力提升,管理学,哈尔滨工程大学,5,2019-03-15,2019-06-30,3.0,16,立即参加,906,70,杨洪涛教授
316,中国茶道,文学文化,湖南农业大学,7,2019-03-11,2019-05-26,4.0,11,立即参加,13940,640,朱海燕教授
317,管理心理学（上）,心理学,电子科技大学,6,2019-03-11,2019-05-03,4.0,8,立即参加,11843,223,祝小宁教授/博导
318,C++语言程序设计（下）——从C到C++,计算机,中国农业大学,6,2019-02-25,2019-05-19,4.0,12,立即参加,6088,19,阚道宏副教授
319,混凝土结构设计原理,工学,湖南大学,4,2019-03-03,2019-06-29,3.5,17,立即参加,4060,48,张望喜副教授方志教授廖莎副教授黄靓教授黄远副教授周云副教授唐昌辉副教授
320,数学实验,理学,电子科技大学,5,2019-02-25,2019-05-19,3.0,12,立即参加,2847,19,张勇副教授房秀芬副教授张晓伟讲师黄捷副教授王志勇副教授李厚彪教授赵熙乐研究员秦旭副教授彭小帆讲师文春副教授刘艳副教授原子霞副教授韦鵾讲师骆艳讲师王朝霞讲师杨宇明讲师胡科副教授窦芳芳副教授王颖副教授张文星副教授
321,机械制图及数字化表达,工学,北京理工大学,5,2019-02-17,2019-06-09,4.0,17,立即参加,3157,32,杨薇副教授张京英教授佟献英副教授张彤副教授张辉副高
322,大学生科技创新课程之节能减排社会实践与科技竞赛,工学,西南交通大学,4,2019-03-11,2019-06-15,3.0,14,立即参加,544,15,张祖涛教授/博士生导师罗大兵副教授潘亚嘉副教授李毅西南交通大学机械学院副书记，学生工作组组长孔祥彬国家一级职业指导师 / 西南交通大学学生工作部老师
323,海洋与人类文明的生产,文学文化,福州大学,7,2019-03-25,2019-06-03,2.0,11,立即参加,940,104,苏文菁教授
324,走进性科学,理学,福建师范大学,6,2019-03-01,2019-06-15,3.0,16,立即参加,7855,977,江剑平博士，副教授，硕导，中国性学会性教育专委会副主任委员，中国性学会理事，福建生理学会副理事长黄键教授陈雅娟讲师
325,公司理财,管理学,华中农业大学,4,2019-03-11,2019-06-28,4.0,16,立即参加,2053,36,包晓岚副教授
326,商务英语,外语,中南财经政法大学,4,2019-03-12,2019-05-14,3.0,10,立即参加,12515,125,袁奇副教授
327,工程图学,工学,天津大学,3,2019-02-25,2019-06-30,4.5,18,立即参加,2537,163,姜杉教授徐健副教授喻宏波副教授丁伯慧副教授田颖副教授胡明艳讲师郑惠江副教授邢元副教授李君兰副教授吴芝亮副教授丁雅斌副高牛文铁副教授李金和工程师高卫国副教授景秀并副教授杨成娟讲师刘玉红副教授李进华副教授郑淑贤副教授李建民副教授张晓峰讲师林孟霞工程师王凯峰副教授杨亚楠讲师赵兴玉副教授陈光副教授王福军特聘研究员安蔚瑾副教授
328,分子生物学,理学,武汉大学,9,2019-03-01,2019-05-31,4.0,14,立即参加,7088,50,刘青珍教授
329,理论力学,工学,哈尔滨工业大学,6,2019-02-25,2019-06-30,4.0,18,立即参加,8951,119,"孙毅教授 博士生指导教师  国家教学名师张莉教授 博士生指导教师曾凡林教授,  博士生导师"
330,零基础学Java语言,计算机,浙江大学,6,2019-03-11,2019-06-01,5.0,12,立即参加,21588,1774,翁恺教师
331,生态文明——撑起美丽中国梦,农林园艺,福建农林大学,5,2019-02-25,2019-06-03,2.0,15,立即参加,645,208,林文雄教授张重义教授何华勤教授陈冬梅副教授范水生副教授曾任森教授吴则焰副教授
332,应用光学,工学,北京理工大学,5,2019-03-11,2019-06-17,4.5,15,立即参加,1360,47,黄一帆副教授李林教授
333,创新管理,管理学,浙江大学,4,2019-02-25,2019-06-15,4.0,16,立即参加,2963,94,郑刚副教授、博导郭斌教授金珺副教授杜健副教授刘洋研究员
334,工程索道,工学,福建农林大学,4,2019-02-25,2019-05-31,2.0,14,立即参加,395,17,郑丽凤教授
335,社会学概论,法学,西安交通大学,7,2019-03-04,2019-06-16,4.0,15,立即参加,3482,61,杨建科教授童梅副教授彭瑾讲师陈皆明教授边燕杰教授
336,微观经济学,经济学,武汉大学,10,2019-03-11,2019-06-02,3.0,12,立即参加,83094,445,文建东教授
337,现代工程制图（上）,工学,大连理工大学,6,2019-02-25,2019-06-24,4.0,18,立即参加,4324,291,王丹虹教授、教育部工程图学课程教学指导分委员会委员高菲副教授冯冬菊副教授王雪飞讲师王殿龙教授陈霞讲师郭莉讲师柴晓艳高级工程师
338,理论力学,工学,西南交通大学,8,2019-02-25,2019-06-30,4.0,18,立即参加,1687,48,鲁丽副教授葛玉梅教授刘菲教授杨翊仁教授，博导
339,时尚与品牌,艺术设计,浙江理工大学,3,2019-02-26,2019-06-26,2.5,18,立即参加,5204,130,任力教授
340,线性代数,理学,北京理工大学,8,2019-02-26,2019-06-15,4.0,16,立即参加,12263,47,孙良教授闫桂峰副教授闫晓霞讲师李春辉讲师
341,计算机硬件技术基础,计算机,东北大学,4,2019-03-04,2019-06-24,2.5,17,立即参加,2372,12,柳秀梅副教授徐彬副教授张昱讲师
342,国家预算管理,经济学,中南财经政法大学,6,2019-02-25,2019-06-16,4.0,16,立即参加,1953,26,王金秀教授魏福成副教授
343,高等数学习题课（二）,理学,哈尔滨工业大学,5,2019-03-09,2019-06-28,4.0,16,立即参加,3263,8,尹逊波教授
344,计量地理学,理学,华东师范大学,7,2019-03-04,2019-06-30,4.5,17,立即参加,1185,55,徐建华教授，博士生导师
345,园艺概论,农林园艺,华中农业大学,6,2019-03-05,2019-06-30,2.5,17,立即参加,2665,153,徐强教授潘志勇副教授何燕红副教授杨静讲师伍小萌讲师范刚副教授
346,客户关系管理,管理学,重庆大学,3,2019-03-11,2019-06-10,4.0,14,立即参加,1268,169,钱丽萍教授
347,如何识别和评估创业机会,管理学,厦门大学,5,2019-04-07,2019-06-15,2.0,10,立即参加,158,60,木志荣副教授
348,经济学导论,经济学,对外经济贸易大学,3,2019-03-04,2019-06-30,1.5,17,立即参加,5628,71,施丹副教授
349,电工技术与电子技术（二）（电工学  下）,工学,中国矿业大学,4,2019-02-18,2019-06-30,4.0,19,立即参加,4995,56,王香婷教授徐瑞东教授刘玉英副教授戴新联副教授张晓春讲师周一恒讲师张晓光副教授王攀攀讲师
350,光学,理学,中山大学,4,2019-02-25,2019-07-05,4.0,19,立即参加,1585,18,陈敏教授赵福利教授董建文教授沈韩副教授谢明远副研究员庞晓宁副研究员冯饶慧工程师陈晓东副研究员
351,管理沟通,经济学,华北电力大学,8,2019-03-12,2019-06-04,1.0,13,立即参加,7943,229,赵洱岽教授，研究生导师国防教授马晓颖博士讲师
352,自我塑造：成功五要素,教育教学,哈尔滨工业大学,8,2019-03-12,2019-06-02,3.0,12,立即参加,2963,122,陈月华教授、博士生导师
353,大学生科技创新课程之智慧城市技术与创意大赛,工学,西南交通大学,3,2018-12-03,2019-01-21,3.0,8,已结束，查看内容,1356,8,张祖涛教授/博士生导师潘亚嘉副教授罗大兵副教授余卉讲师许永生讲师
354,现代遗传学,理学,厦门大学,5,2019-03-01,2019-06-21,4.0,17,立即参加,1776,31,王亚梅副教授靳全文教授肖能明教授
355,美在民间,艺术设计,南京农林大学,4,2019-03-30,2019-05-31,4.0,9,立即参加,1636,95,胡燕博士，教授，硕导，南京农业大学教务处副处长、公共艺术教育中心副主任、国家级普通话测试员。朱志平讲师，南京农业大学公共艺术教育中心办公室主任杨旺生教授李伟助理研究员侯广旭教授韩一杰无谭智贇研究实习员王佩佩无
356,中国哲学史（先秦部分）,哲学,武汉大学,3,2018-09-10,2019-06-03,4.0,39,立即参加,11966,125,李维武教授秦平副教授廖璨璨副教授郑泽绵副教授肖航副教授
357,测量学,工学,电子科技大学,5,2019-03-12,2019-07-31,3.0,21,立即参加,1737,67,何彬彬教授，博士生导师官雨薇实验师行敏锋副教授全兴文讲师
358,公司金融学,经济学,西南财经大学,6,2019-03-07,2019-05-16,4.0,11,立即参加,7034,125,许志副教授
359,家庭理财,经济学,大连理工大学,3,2018-10-30,2019-02-25,4.0,17,已结束，查看内容,19121,66,姚宏副教授刘彦文副教授
360,结构力学——静定结构力学,工学,大连理工大学,4,2019-02-25,2019-05-27,6.0,14,立即参加,1507,10,陈廷国教授曲激婷副教授
361,生活药学,医药卫生,福建师范大学,5,2019-03-04,2019-06-07,2.0,14,立即参加,5122,595,林清强高级实验师
362,西方现代化视野下的英美文学,外语,西南交通大学,4,2019-03-03,2019-07-14,2.5,20,立即参加,1579,202,李成坚教授孙颖讲师侯斌英副教授张睿讲师陈小鸥讲师但鸽讲师钱亚旭讲师胡婧讲师郑博仁讲师
363,宠物犬鉴赏,农林园艺,华中农业大学,5,2019-03-11,2019-05-11,2.5,9,立即参加,2763,108,熊家军副教授
364,全球化与中国文化,外语,西南交通大学,4,2019-02-25,2019-06-30,1.5,18,立即参加,1903,284,王俊棋副教授王昕讲师侯斌英副教授高岚讲师张洁讲师崔罡讲师孙颖讲师
365,微积分（四）,理学,电子科技大学,2,2018-04-30,2018-07-22,4.0,12,已结束，查看内容,14950,3,高建教授冷劲松教授汪小平讲师高中喜副教授程光辉教授何国良副教授米文副教授余时伟讲师夏红副教授窦芳芳副教授王晓梅副教授刘碧森无
366,数字信号处理,工学,北京交通大学,5,2019-02-19,2019-06-11,4.0,17,立即参加,2982,39,陈后金教授，博士生导师。胡健副教授薛健副教授李艳凤副教授黄琳琳教授陶丹教授申艳副教授钱满义讲师周航副教授
367,石油工业概论,工学,中国石油大学,5,2019-02-25,2019-06-07,4.0,15,立即参加,2601,247,张卫东教授王德民院士刘建林教授倪红坚教授郭辛阳gdayang郭卫萍助教刘冬冬讲师靳纪军讲师孟红霞讲师李明川副教授
368,人体骨与关节解剖学,医药卫生,宁波大学,4,2019-03-08,2019-06-08,3.0,14,立即参加,3389,179,尹维刚教授
369,高速铁路规划与选线,工学,西南交通大学,7,2019-03-04,2019-06-04,4.0,14,立即参加,592,71,易思蓉教授，博士生导师
370,药物化学,理学,福州大学,4,2019-03-18,2019-06-30,3.0,15,立即参加,803,14,黄剑东教授
371,自动控制原理（二）,工学,华中科技大学,5,2019-02-18,2019-06-30,4.0,19,立即参加,2545,7,樊慧津教授黄剑教授苏厚胜教授刘磊副教授张海涛教授王永骥教授王燕舞教授张征副教授秦元庆讲师李炜自动化学院 教授秦肖臻副教授
372,财政学,经济学,中南财经政法大学,5,2019-02-25,2019-06-07,2.0,15,立即参加,4788,76,刘京焕教授李景友副教授陈志勇教授毛晖教授
373,高等数学（一）,理学,东北大学,4,2018-09-10,2019-01-04,5.0,17,已结束，查看内容,35557,114,孙艳蕊教授杨中兵副教授宋叔尼教授孔庆海教授韩志涛副教授孙涛副教授袁媛讲师刘静宜讲师钱金花副教授沈海龙讲师韩海燕讲师
374,天线原理,工学,哈尔滨工业大学,5,2019-04-15,2019-06-24,1.5,11,立即参加,715,22,林澍副研究员
375,中国诗歌艺术,文学文化,四川大学,6,2019-02-28,2019-06-30,2.0,18,立即参加,25741,191,王红教授伍晓蔓副教授
376,外国文学史（一）,文学文化,浙江工商大学,5,2019-02-12,2019-06-04,3.0,17,立即参加,12447,118,"蒋承勇教授、博导；国家教学名师，中国外国文学教学研究会会长，教育部“面向21世纪课程教材”《外国文学史》主编之一。李艳梅博士,副教授.程丽蓉博士，教授。于琦博士，教授。曾繁亭博士，教授，博士生导师。陈军博士，副教授。"
377,数学分析（二）,理学,华东师范大学,4,2018-11-19,2019-02-25,5.0,15,已结束，查看内容,22256,18,柴俊教授庞学诚教授吴畏教授王丽萍副教授戴浩晖讲师
378,综合能力训练（ERP模拟经营沙盘）,管理学,西南财经大学,4,2019-03-09,2019-05-31,4.0,12,立即参加,4514,281,邹燕副教授贾林可讲师
379,离散数学概论,计算机,北京大学,3,2019-03-07,2019-06-20,2.5,16,立即参加,6482,80,陈斌副教授
380,“互联网+”时代的颠覆与创新,管理学,湖南大学,6,2019-03-01,2019-06-01,1.5,14,立即参加,2979,283,朱国玮副教授
381,概率论与数理统计,理学,国防科技大学,7,2019-02-25,2019-07-01,4.0,19,立即参加,2887,30,吴翊教授
382,预防医学（二）,医药卫生,复旦大学,4,2018-11-05,2019-01-07,4.0,10,已结束，查看内容,6123,64,傅华教授彭伟霞讲师郑频频副教授赵琦戴俊明复旦大学预防医学教研室副教授，医学博士，硕士研究生导师。薛琨讲师丁永明中级职称
383,生物制药工艺学（技术与基础）,医药卫生,中国药科大学,5,2019-02-25,2019-06-25,4.0,18,立即参加,1535,79,高向东教授，博导郑珩副教授何书英副教授孔毅副教授劳兴珍副教授童玥副教授
384,太极拳文化与功法习练,教育教学,武汉理工大学,6,2019-02-18,2019-05-18,1.5,13,立即参加,3583,204,易鹏副教授、硕士生导师、青年教学名师、世界太极拳冠军、全运会太极全能冠军、国际级运动健将、国家级武术裁判
385,大学物理-电磁学和光学,理学,山东大学,10,2019-04-16,2019-07-02,3.0,12,立即参加,1717,22,李玉香教授葛美华副教授刘建强教授，基础物理教学研究中心主任于淑云副教授
386,无机及分析化学（上）,理学,华中农业大学,7,2019-02-17,2019-05-22,5.0,14,立即参加,3746,109,王运教授胡先文副教授李慧慧讲师康勤书副教授刘永红副教授陆冬莲讲师刘玲芝副教授
387,力学(上),理学,吉林大学,5,2018-08-28,2018-11-12,4.0,11,已结束，查看内容,5293,7,张汉壮教授（博导）倪牟翠副教授
388,金属材料及热处理,工学,中国地质大学,5,2019-02-18,2019-05-18,4.0,13,立即参加,3454,94,徐林红副教授饶建华教授杨洋讲师张文颖机械工程系副教授赵权助教
389,《新教伦理与资本主义精神》导读,哲学,复旦大学,5,2018-09-17,2018-12-29,1.5,15,已结束，查看内容,30920,262,郁喆隽复旦大学哲学学院副教授
390,大学英语综合课程(一),外语,国防科技大学,6,2019-03-05,2019-06-06,4.0,14,立即参加,11917,98,林骊珠副教授粟进英教授贺海涛副教授曾祥娟副教授焦新平副教授胡卫星副教授敖锋副教授陈菁人文与社会科学学院语言文化研究所讲师刘缔讲师李园芳讲师饶岚副教授
391,中国近现代史纲要,法学,武汉大学,6,2019-02-25,2019-07-20,2.5,21,立即参加,6882,1965,宋俭武汉大学马克思主义学院教授，博士生导师。武汉大学教学名师。万军杰副教授，硕士生导师，“中国近现代史纲要”课程教研中心副主任。陈训威实验中心主任，高工李勤武汉大学马克思主义学院教授，硕士生导师。吴向伟副教授卢勇副教授李华武汉大学马克思主义学院副教授丁俊萍武汉大学马克思主义学院教授，博导，国家级教学名师，国家教育部社会科学委员会委员徐嘉鸿讲师李学桃讲师
392,会计学原理,管理学,福州大学,5,2019-03-01,2019-05-26,3.5,13,立即参加,6796,279,房桃峻副教授林兢教授袁寒松副教授刘昌华副教授郑礼光副教授蔡胜军讲师曾萌讲师
393,普通化学,理学,大连理工大学,6,2019-02-19,2019-05-27,4.0,14,立即参加,1881,14,胡涛教授，辽宁省普通高等学校化学类专业教学指导委员会秘书长孟长功教授，国家级教学名师，教育部高等学校实验教学指导委员会委员于永鲜副教授王慧龙大连理工大学化学学院教授陶胜洋副教授张建军教授
394,古诗今读,文学文化,北京语言大学,3,2019-03-05,2019-05-31,1.5,13,立即参加,2842,337,韩经太教授
395,生物医学工程概论,工学,西北工业大学,4,2019-03-01,2019-06-30,3.0,18,立即参加,856,34,卢婷利教授杨鹏飞副教授叶雅静副教授陈强副教授张妍妮讲师
396,运筹学,管理学,江西财经大学,4,2019-03-01,2019-06-30,4.0,18,立即参加,6556,94,刘满凤教授王翠霞副教授万树平教授万建香教授梁威助理研究员万龙副教授
397,高速铁路信号系统,工学,西南交通大学,5,2019-03-11,2019-05-19,4.0,10,立即参加,568,22,郭进教授
398,货币金融学,经济学,对外经济贸易大学,3,2019-03-11,2019-06-24,3.0,16,立即参加,7527,170,蒋先玲教授
399,VisualBasic.NET程序设计入门,计算机,同济大学,8,2019-02-18,2019-05-12,4.0,12,立即参加,4334,26,龚沛曾电子与信息工程学院 教授杨志强教授朱君波讲师肖杨副教授李湘梅副教授
400,社会调查与研究方法,法学,北京大学,2,2018-10-15,2019-01-28,4.0,16,已结束，查看内容,11538,81,邱泽奇教授
401,普通昆虫学（二）,理学,华中农业大学,6,2019-03-18,2019-06-19,2.5,14,立即参加,906,34,周兴苗副教授雷朝亮教授朱芬副教授牛长缨教授朱智慧副教授杨凤连副教授陈利珍副教授刘晓艳讲师
402,网络技术与应用,计算机,南京邮电大学,9,2019-02-21,2019-05-19,3.0,13,立即参加,5390,227,杨庚教授，博士生导师胡素君副教授李鹏副教授王雪梅副教授成卫青教授刘尚东讲师
403,单片机原理及应用,工学,哈尔滨工业大学,5,2018-10-16,2018-11-20,4.0,6,已结束，查看内容,38789,71,张毅刚教授赵光权副教授刘丹讲师
404,大学化学（下）,理学,中南大学,6,2019-03-11,2019-06-30,4.0,16,立即参加,1771,18,王一凡教授
405,高等数学（三）,理学,同济大学,4,2019-02-25,2019-04-29,4.0,10,立即参加,41541,87,张弢副教授兰辉副教授孙娟娟讲师李忠华副教授濮燕敏副教授李少华教授周朝晖副教授
406,高级语言程序设计,计算机,吉林大学,9,2019-03-25,2019-06-26,3.5,14,立即参加,966,310,张长海教授/博士生导师陈娟副教授吕帅副教授
407,医学生理学,医药卫生,山东大学,7,2019-02-25,2019-07-10,3.0,20,立即参加,5788,34,刘传勇教授 、生理学博士生导师崔敏副教授李景新教授于晓教授于书彦副教授王双连讲师
408,材料力学,工学,东北大学,5,2019-02-24,2019-06-30,4.0,19,立即参加,2043,24,刘军东北大学理学院工程力学系副教授战宇讲师李英梅副教授张凤鹏教授张英杰副教授池维超讲师
409,动物生理学,理学,华中农业大学,7,2019-02-18,2019-05-31,6.0,15,立即参加,3679,95,李大鹏教授，博士生导师汤蓉副教授杨秀平教授伍晓雄副教授徐在言副教授迟巍副教授谢胜松副教授张曦讲师曾翠平讲师
410,政治伦理学,法学,四川大学,8,2019-03-05,2019-06-30,4.0,17,立即参加,1176,26,阎钢教授谢卫东讲师邢海晶教授
411,经典导读与欣赏,文学文化,西南大学,6,2019-03-11,2019-06-30,3.0,16,立即参加,2985,65,董小玉教授
412,高等数学（二）,理学,国防科技大学,7,2018-11-12,2019-01-28,4.0,12,已结束，查看内容,35383,23,朱健民教授李建平教授黄建华教授周敏教授王晓教授刘雄伟副教授罗永副教授赵侠副教授吴强副教授王焱副教授
413,数字营销：走进智慧的品牌,文学文化,暨南大学,7,2019-03-14,2019-06-13,2.5,14,立即参加,3503,269,谷虹副教授
414,口腔解剖生理学,医药卫生,西安交通大学,4,2019-03-01,2019-06-01,4.0,14,立即参加,4074,20,孙慧玲副研究员
415,中国衣裳——传统服装文化,文学文化,西南交通大学,4,2019-03-18,2019-07-08,3.0,17,立即参加,3530,319,李任飞副教授向仲敏副研究员崔罡讲师
416,大学生科技创新课程之机械创新设计大赛,工学,西南交通大学,4,2019-03-25,2019-06-30,2.0,14,立即参加,756,27,张祖涛教授/博士生导师罗大兵副教授潘亚嘉副教授
417,Python网络爬虫与信息提取,计算机,北京理工大学,5,2019-03-25,2019-05-20,2.5,9,立即参加,14753,1288,嵩天副教授
418,吴文化史,历史,苏州大学,6,2019-03-22,2019-06-29,3.0,15,立即参加,739,174,王卫平教授，博士生导师。
419,数字信号处理,工学,西安电子科技大学,4,2019-02-18,2019-05-24,4.0,14,立即参加,3446,25,田春娜教授高新波教授李洁教授阔永红教授
420,交通管理与控制,工学,东南大学,4,2019-02-25,2019-06-09,3.0,15,立即参加,762,16,陈峻东南大学博士，教授，博士生导师，交通学院副院长，交通工程系主任。
421,数字电子技术基础,工学,哈尔滨工业大学,6,2019-03-01,2019-06-30,5.0,18,立即参加,7108,35,齐明副教授陶隽源讲师朱敏副教授
422,英语教学与互联网,教育教学,爱课程,9,2019-01-20,2019-03-31,4.0,11,立即参加,5455,671,焦建利教授、博士生导师刘晓斌副教授、硕士生导师陈泽璇讲师徐曼菲副教授、硕士生导师李智高讲师毛方吉中教一级窦菊花副教授包晓明中教高级何其钢中教高级张彦琳讲师王力维讲师
423,电路,工学,西安交通大学,10,2019-02-25,2019-07-12,4.0,20,立即参加,7893,144,罗先觉教授  博士生导师邹建龙副教授
424,质性研究方法,教育教学,北京大学,2,2018-12-01,2019-03-01,2.0,13,老师已关闭该学期，无法查看,6387,272,林小英副教授
425,模拟电子线路A,工学,南京邮电大学,6,2019-03-04,2019-06-16,4.0,15,立即参加,1614,25,黄丽亚教授杨恒新副教授袁丰讲师周洪敏讲师朱莉娟讲师何艳讲师
426,电工学,工学,同济大学,7,2018-10-09,2019-01-15,4.0,15,已结束，查看内容,12384,30,顾榕同济大学电子科学与技术系，副教授童美松同济大学电子科学与技术系特聘教授、系主任、博士生导师
427,大学生科技创新课程之起重机创意大赛,工学,西南交通大学,3,2018-12-17,2019-01-27,3.0,6,已结束，查看内容,1278,13,张祖涛教授/博士生导师程文明教授、博导罗大兵副教授郭立昌讲师张敏讲师
428,方言与中国文化,文学文化,武汉大学,10,2019-02-22,2019-06-30,2.5,19,立即参加,6546,163,阮桂君副教授
429,物理与艺术,理学,南京航空航天大学,7,2019-03-26,2019-06-16,1.5,12,立即参加,1057,78,施大宁教授刘曙娥副教授
430,市场营销学,管理学,福州大学,6,2019-03-06,2019-06-24,2.5,16,立即参加,4716,119,陈章旺福州大学经济与管理学院教授
431,大学计算机基础,计算机,同济大学,10,2019-02-26,2019-06-21,4.0,17,立即参加,10209,270,杨志强教授
432,云计算技术与应用,计算机,河海大学,4,2019-03-22,2019-06-23,4.0,14,立即参加,2679,112,孙宁讲师陈慧萍副教授金永霞实验师
433,学术交流英语,外语,东南大学,5,2019-02-25,2019-05-31,1.75,14,立即参加,5163,1319,陈美华陈美华，博士，院长、教授、博士生导师、江苏省教学名师。金曙副教授王学华副教授王捷讲师邵争讲师吴敏讲师
434,审计学基础,经济学,南京审计大学,4,2019-03-18,2019-06-23,3.5,14,立即参加,3493,70,王会金教授许莉教授和秀星和秀星陈丹萍教授齐兴利教授李兆东副教授王晓丹讲师孟金卓讲师
435,建筑设计空间基础认知,工学,哈尔滨工业大学,4,2019-03-15,2019-06-27,2.0,15,立即参加,2142,56,孙澄教授，博士生导师，建筑学院党委书记兼副院长。邵郁教授郭海博副教授薛名辉副教授董宇副教授于戈副教授周立军教授连菲讲师，硕士生导师刘滢副教授陈旸副教授韩昀松讲师
436,概率论与数理统计,理学,浙江大学,9,2019-02-25,2019-06-23,4.0,17,立即参加,21536,222,张帼奋副教授张奕教授黄炜副教授吴国桢高级工程师赵敏智副教授
437,中国十大传统名曲赏析,艺术设计,电子科技大学,5,2019-03-20,2019-06-30,1.5,15,立即参加,2360,88,唐珞副教授
438,大学计算机基础,计算机,国防科技大学,10,2019-04-30,2019-07-31,4.0,14,立即参加,1927,145,周海芳教授刘越老师吴荻讲师
439,材料工程基础,工学,武汉理工大学,5,2019-02-20,2019-06-28,4.0,19,立即参加,812,4,谢峻林教授文进副教授赵青林教授朱明副教授何永佳教授
440,植物学,理学,西北大学,5,2019-02-25,2019-05-31,2.5,14,立即参加,2686,120,刘文哲教授蔡霞教师王丹阳副教授 李忠虎教授、博导赵鹏副教授
441,VisualBasic.NET程序设计进阶,计算机,同济大学,7,2019-04-01,2019-07-10,4.0,15,立即参加,324,16,龚沛曾电子与信息工程学院 教授
442,电路,工学,南京理工大学,5,2019-03-21,2019-06-30,6.5,15,立即参加,8176,58,黄锦安教授李竹讲师徐行健讲师蔡小玲讲师朱献民讲师孙建红副教授沙涛副教授康明才副教授陈胜垚副教授
443,生物材料伴我行,工学,湖南大学,4,2019-03-01,2019-06-20,4.0,16,立即参加,536,73,谭志凯副教授朱咏华教授
444,航天、人文与艺术,工学,南京航空航天大学,6,2019-03-25,2019-05-27,4.0,10,立即参加,1863,106,闻新教授
445,软件工程,计算机,东北大学,5,2019-02-20,2019-06-30,4.0,19,立即参加,3918,74,张爽东北大学软件学院 副教授 博士胡清河副教授王蓓蕾讲师张伟副教授王学毅讲师
446,财务报表编制,管理学,福州大学,6,2019-03-04,2019-05-20,4.0,12,立即参加,7679,56,陈朝晖副教授林小娟讲师颜艳讲师
447,组织学与胚胎学,医药卫生,中国医科大学,4,2019-03-18,2019-06-30,4.0,15,立即参加,5175,27,石玉秀教授翟效月教授郑玮教授韩芳副教授温昱副教授刘宁宇副教授杨蓓讲师刘虹讲师林庚讲师陈雪讲师丁金兰讲师肖冰讲师
448,逻辑学导论,哲学,西北大学,4,2019-03-06,2019-07-01,2.5,17,立即参加,7925,271,李静副教授孟蕾讲师
449,形势与政策,法学,北京科技大学,6,2019-03-11,2019-05-27,2.5,12,立即参加,9427,6337,彭庆红教授左鹏教授宋伟副教授刘明言讲师许慎讲师
450,食物营养与食品安全,医药卫生,中南大学,7,2019-03-04,2019-06-10,4.0,15,立即参加,6766,158,"胡敏予湘雅公共卫生学院营养与食品卫生学系系主任,教授,医学博士朱明元中南大学湘雅公共卫生学院营养与食品卫生学系教授任国峰湘雅公卫学院副院长,营养与食品卫生学博士,湖南省营养学会秘书长，湖南省卫计委食品安全首席专家"
451,形势与政策,法学,华东理工大学,3,2018-04-27,2018-07-06,3.0,11,已结束，查看内容,18097,547,胡宝国副教授卢杨讲师张驰讲师杜仕菊教授朱姝副教授
452,市场营销,管理学,四川大学,4,2019-03-04,2019-06-11,3.0,15,立即参加,4073,59,左仁淑教授
453,概率论与数理统计,理学,电子科技大学,5,2019-03-04,2019-07-04,2.5,18,立即参加,8560,79,高晴教授陈绍刚教授吕恕教授覃思义副教授龚丽莎副教授武德安副教授韦鵾讲师王志勇副教授杨宇明讲师彭小帆讲师文春副教授陈碟讲师杜鸿飞讲师秦旭副教授
454,大学语文,文学文化,东南大学,9,2019-02-26,2019-06-18,3.0,17,立即参加,5686,74,张天来副教授
455,寄生虫病与食品安全,医药卫生,华中科技大学,4,2019-02-17,2019-07-17,3.0,22,立即参加,1918,120,刘文琪教授雷家慧副教授陆盛军副教授王婷讲师关飞讲师
